0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
[욕설],안소니,홉킨스,패드리퍼박제,,,,,,,,,,,,,,,,,,,,
[욕설],꿇뚫꿇뚫꿇뚫,<<,패드리퍼,>>,,,,,,,,,,,,,,,,,,,
[욕설],이게,플레4.....?,사진,,,,,,,,,,,,,,,,,,,,
[욕설],1월5일60억증발,<<<,일베,사진,,,,,,,,,,,,,,,,,,,
[욕설],희망사항,C컵,<<<,패드립,사진,,,,,,,,,,,,,,,,,,
[욕설],홍어퀸,<<<,사회부적응자,사진,,,,,,,,,,,,,,,,,,,
[욕설],그아가리좀닥쳐,<<<,사회부적응자,사진,,,,,,,,,,,,,,,,,,,
[욕설],늙고살찐병든뚱마,<<<,사회부적응자,사진,,,,,,,,,,,,,,,,,,,
[욕설],욕설,시비러,다리우스.요네충,,,,,,,,,,,,,,,,,,,,
[욕설],01030155962<<,불만,있는,베인,[1],사진,,,,,,,,,,,,,,,,,
[욕설],개인,저장용,[1],사진,,,,,,,,,,,,,,,,,,,
[욕설],은톨이,<-----,"욕설,",악질유저,박제합니다,[24],,,,,,,,,,,,,,,,,
[욕설],패드립,욕설,신고.,그러지맙시다.,,,,,,,,,,,,,,,,,,,
[욕설],패드립,및,지속적인,비속어,사용,"[후폭캉,후폭강]",듀오,,,,,,,,,,,,,,,,
[욕설],찍찍이쌤유튜브<,유튜버한테,패드립,당했습니다,[1],사진,,,,,,,,,,,,,,,,,
[욕설],안녕하쇼,,,,,,,,,,,,,,,,,,,,,,
[욕설],마치,UM처럼,이라는,글을,쓰는,리븐씨,사진,,,,,,,,,,,,,,,,
[욕설],패드립에,지역비하는,좀,아니지,않나?,,,,,,,,,,,,,,,,,,
[욕설],트롤픽,신고,차단,ㄱㄱ신고,ㄱㄱ,사진,,,,,,,,,,,,,,,,,
[욕설],욕설하고,대리받고,계삭하자길래,해서,졌는데,계삭안함,ㅇㅇ;;,사진,,,,,,,,,,,,,,,
[욕설],인간쓰래기,일반,4인큐,박제,ㅋ,,,,,,,,,,,,,,,,,,
[욕설],고소인증3),검찰에서,조정연락왔습니다,사진,,,,,,,,,,,,,,,,,,,
[욕설],스킨,환불,교환,,,,,,,,,,,,,,,,,,,,
[욕설],징징이들많네,,,,,,,,,,,,,,,,,,,,,,
[욕설],아르카나,쟤라스,헬퍼의심유저입니다.,[1],,,,,,,,,,,,,,,,,,,
[욕설],지건,매렵No<<,실버구간,패작,던짐.,,,,,,,,,,,,,,,,,,
[욕설],반드시,올라간다,<-,원딜유저,고의트롤입니다,사진,,,,,,,,,,,,,,,,,
[욕설],노콘거부중,<<<,버스타면서,"욕설,패드립하는",악질유저,,,,,,,,,,,,,,,,,,
[욕설],싸장님아내맛잇섭,무결성처형님,이글을,보시길..,,,,,,,,,,,,,,,,,,,
[욕설],저능아,탐지기,<-,저능아,닉값하려는건가,,,,,,,,,,,,,,,,,,
[욕설],[박제],롤닉:,GOODBOYGH,1:1,5만원빵,지고,런,사진,,,,,,,,,,,,,,,
[욕설],상하이에서,롤하는,뇌없는,중국인,3명,박제합니다,,,,,,,,,,,,,,,,,
[욕설],게임이,끝나고나서,욕설을,했습니다,[2],사진,,,,,,,,,,,,,,,,,
[욕설],"백핑세번미드오픈,윰냥꽁냥<<",패드립,및,정부비판과,게임방해,조심하세요,,,,,,,,,,,,,,,,,
[욕설],실리카겔,칼바람,패드리퍼,고소,할,예정,[2],,,,,,,,,,,,,,,,
[욕설],마스터,티어라고,속이고,연승팟겜에서,팀원들하고,싸우고,욕박고,나간사람,차단,아이디,여러개,다,복붙해옴,,,,,,,,,,
[욕설],이즈리뽕,<<,패드립,및,던짐,비매너플레이어,사진,,,,,,,,,,,,,,,,
[욕설],계정,공유,비매,유저,"""",AUTHORITARIANISM,"""",,,,,,,,,,,,,,,,
[욕설],응팔류준열,<<,패드립및,게임진행방해,,,,,,,,,,,,,,,,,,,
[욕설],원자력노조위원장,<<,예비,살인마.,;;,사진,,,,,,,,,,,,,,,,,
