유저명,티어,승패,챔피언,포지션,Kill,Death,Assist,킬관여율
Professional Bro,Silver 3,LOSS,Ezreal,adc,2 , 4 , 3,1.25
Professional Bro,Silver 3,LOSS,Thresh,support,0 , 6 , 4,0.67
Professional Bro,Silver 3,LOSS,Ahri,mid,8 , 10 , 9,1.70
Professional Bro,Silver 3,LOSS,Kalista,top,1 , 6 , 2,0.50
Professional Bro,Silver 3,WIN,Kayn,jungle,3 , 5 , 6,1.80
Professional Bro,Silver 3,LOSS,Katarina,mid,5 , 7 , 7,1.71
Professional Bro,Silver 3,LOSS,Xerath,support,2 , 10 , 0,0.20
Professional Bro,Silver 3,LOSS,Poppy,top,17 , 6 , 5,3.67
Professional Bro,Silver 3,LOSS,Sona,mid,5 , 5 , 12,3.40
Professional Bro,Silver 3,WIN,Sona,support,3 , 1 , 14 ,7.00
Professional Bro,Silver 3,LOSS,Sona,support,4 , 11 , 25,2.64
Professional Bro,Silver 3,LOSS,Ezreal,adc,3 , 4 , 1,1.00
Professional Bro,Silver 3,LOSS,Ezreal,adc,3 , 9 , 7,1.11
Professional Bro,Silver 3,LOSS,Leblanc,mid,0 , 9 , 6,0.67
Professional Bro,Silver 3,LOSS,Kalista,top,4 , 7 , 2,0.86
Professional Bro,Silver 3,WIN,Leblanc,mid,10 , 8 , 12,2.75
Professional Bro,Silver 3,WIN,Leblanc,mid,4 , 8 , 12,2.00
Professional Bro,Silver 3,LOSS,Annie,mid,2 , 7 , 2,0.57
Professional Bro,Silver 3,LOSS,Leblanc,mid,6 , 6 , 10,2.67
Professional Bro,Silver 3,WIN,Leblanc,mid,17 , 4 , 4,5.25
Professional Bro,Silver 3,LOSS,Leblanc,mid,1 , 5 , 1,0.40
Professional Bro,Silver 3,WIN,Leblanc,mid,14 , 2 , 4,9.00
Professional Bro,Silver 3,LOSS,Leblanc,mid,10 , 9 , 6,1.78
Professional Bro,Silver 3,LOSS,Ekko,jungle,5 , 8 , 8,1.63
Professional Bro,Silver 3,LOSS,MasterYi,adc,0 , 4 , 2,0.50
Professional Bro,Silver 3,LOSS,Leblanc,mid,2 , 6 , 2,0.67
Professional Bro,Silver 3,WIN,Leblanc,mid,10 , 6 , 4,2.33
Professional Bro,Silver 3,WIN,Leblanc,mid,10 , 8 , 5,1.88
Professional Bro,Silver 3,LOSS,Caitlyn,mid,9 , 6 , 5,2.33
Professional Bro,Silver 3,WIN,Leblanc,mid,8 , 3 , 12,6.67
조선족 원딜러,Gold 2,LOSS,Zoe,mid,3 , 16 , 9,0.75
조선족 원딜러,Gold 2,LOSS,Ashe,adc,5 , 12 , 6,0.92
조선족 원딜러,Gold 2,WIN,Lillia,mid,4 , 3 , 21,8.33
조선족 원딜러,Gold 2,LOSS,Nidalee,adc,13 , 7 , 8,3.00
조선족 원딜러,Gold 2,WIN,Pyke,mid,21 , 8 , 10,3.88
조선족 원딜러,Gold 2,LOSS,Talon,mid,1 , 9 , 6,0.78
조선족 원딜러,Gold 2,LOSS,Yone,mid,4 , 4 , 3,1.75
조선족 원딜러,Gold 2,WIN,Neeko,mid,2 , 3 , 14,5.33
조선족 원딜러,Gold 2,WIN,Yuumi,support,2 , 3 , 23,8.33
조선족 원딜러,Gold 2,LOSS,Lux,support,4 , 11 , 5,0.82
조선족 원딜러,Gold 2,LOSS,Neeko,support,6 , 9 , 12,2.00
조선족 원딜러,Gold 2,WIN,Orianna,support,8 , 8 , 30,4.75
조선족 원딜러,Gold 2,WIN,Orianna,support,1 , 8 , 27,3.50
조선족 원딜러,Gold 2,WIN,Neeko,support,1 , 3 , 9,3.33
조선족 원딜러,Gold 2,WIN,Kayn,support,6 , 3 , 7,4.33
조선족 원딜러,Gold 2,LOSS,Orianna,top,2 , 8 , 13,1.88
조선족 원딜러,Gold 2,LOSS,Ashe,adc,9 , 7 , 8,2.43
조선족 원딜러,Gold 2,WIN,Aphelios,adc,2 , 3 , 11,4.33
조선족 원딜러,Gold 2,LOSS,Sylas,mid,3 , 9 , 3,0.67
조선족 원딜러,Gold 2,LOSS,Malphite,mid,4 , 7 , 13,2.43
조선족 원딜러,Gold 2,LOSS,Fiora,mid,8 , 13 , 9,1.31
조선족 원딜러,Gold 2,WIN,Talon,mid,7 , 0 , 2,9.00
조선족 원딜러,Gold 2,LOSS,Lillia,jungle,4 , 5 , 4,1.60
조선족 원딜러,Gold 2,LOSS,Viego,jungle,11 , 6 , 4,2.50
조선족 원딜러,Gold 2,LOSS,Orianna,support,1 , 9 , 2,0.33
