0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
[욕설],hdjfh<<,만능의돌,클레드,트롤새끼,박제,사진,,,,,,,,,
[욕설],다음번에>욕설게임,후,케삭빵>,1:1,내가이김,,,,,,,,,,
[욕설],햄버거병,,,,,,,,,,,,,,
[욕설],D유체화,F점멸<패드립,고소시,참고,사진,,,,,,,,,,
[욕설],Code,쵸파,<,남탓시비충,,,,,,,,,,,
[욕설],홍장코,<<욕설,시비충,박제,사진,,,,,,,,,,
[욕설],회계재무과개용탁,<<,패드립,급식새끼,박제,사진,,,,,,,,,
[욕설],핵꿀맛콩사탕,<<,"욕설,",우물잠수,사진,,,,,,,,,,
[욕설],GoldTket,",",원딜듀오상시모집,<<욕설,트롤러,사진,,,,,,,,,
[욕설],imir,<<욕설,시비충,박제,사진,,,,,,,,,,
[욕설],가렌원챔,"김가붕,",정우찡,"뿌뿌뿌,","iililiiiliilil,",당근빠따다,"<-욕설,",패드립,정신병자들,조심,사진,,,,
[욕설],부캐,패작러,"""아임뚜렛부캐""",,,,,,,,,,,,
[욕설],월계동큰손,",",Core,Value,",",류도헌,<<욕설,시비충,박제,사진,,,,,
[욕설],다이아본캐라는,1종보통박누누,",",Mid,Jayce,Kr,패드립시비충,박제,사진,,,,,,
[욕설],그냥,병신들,왜,저렇게,병신들이,많아졌지,,,,,,,,,
[욕설],SKT,T1,Soul,",",채희재,<<,욕설시비충,급식듀오,박제,사진,,,,,
[욕설],고귀한,교황,<<,씹구데기벌레노애미,,,,,,,,,,,
[욕설],혁명군감찰실장<<,패드립충,급식,박제,사진,,,,,,,,,,
[욕설],식사동,"망나니,",식사동,"백정,",식사동,기생년,<<<<<<<픽창부터,패드립,욕설,픽뺏음,한꺼번에,겜중에,나감,박제,
[욕설],Exister,<<패드립충,박제,사진,,,,,,,,,,,
[욕설],서폿하쥬,",",CCJE,<,욕설,시비충,박제,사진,,,,,,,
[욕설],방탄사랑해하하,<<,불법프로그램,사용,및,고의패작/욕설,[1],사진,,,,,,,
[욕설],조이파크,<<,트롤,시비충,사진,,,,,,,,,,
[욕설],신중의신고무신,//,일반,픽창정치,사진,,,,,,,,,,
[욕설],Project,Skin,<<,패드립,욕설,벌레,박제,사진,,,,,,,
[욕설],성덕오빠만의별,<-,다1~마스터,구간,어뷰저,사진,,,,,,,,,
[욕설],욕하면알텝잠수,<<,고의트롤,및,욕설,사진,,,,,,,,,
[욕설],킹재히,",아이러브오레오",<<,욕설,정신병자,박제,사진,,,,,,,,
[욕설],이즈,노벤쫌,",",룬,검,<<,시비충,정신병,심한,부캐드립,듀오,박제,사진,,
[욕설],"흑심품은홍록기,OnePiece",루피,<패작급식듀오,사진,,,,,,,,,,,
[욕설],지는,건,너희탓,",","인하지,",Kiim철수,<<패드립충들,박제,[1],사진,,,,,
[욕설],피즈하지마3,패드립,박제,사진,,,,,,,,,,,
